category,category_definition,category_fr,category_definition_fr
Problems_with_SDB,"Statements about Safe and Dignified Burial teams processes and actions. Includes mentions of mutilations, theft of organs or dead bodies, as well as general mistrust in SDB.",Problemes_avec_EDS,Histoires des processus et les actes des équipes EDS (enterrements dignes et sécurisés).
Ebola_does_not_exist,"Statements about denial of the EVD outbreak, including that Ebola does not exist, that there is no Ebola virus outbreak or that Ebola is not real.",Ebola_n'existe_pas,"Affirmations sur le déni de l’épidémie de MVE, y compris qu’Ebola n’existe pas, qu’il n’y a pas d’épidémie de virus Ebola ou qu’Ebola n’est pas réel."
Ebola_causes,Statements about supernatural as well as natural causes of the Ebola outbreak.,Origine_d_Ebola,Affirmations sur les causes surnaturelles et naturelles de la MVE.
Ebola_has_no_cure_always_results_in_death,"Comments about Ebola always resulting in death, nobody being cured or surviving, or there not being a treatment for Ebola.",Ebola_ne_se_guérit_pas_entraine_toujours_la_mort,"Commentaires selon lesquels Ebola aurait toujours pour conséquence la mort, les personnes atteintes ne guériraient ni ne survivraient jamais, ou l’absence de traitement contre Ebola."
Critics_or_observations_of_health_system,"Declarations indicating lack of confidence or trust in healthcare workers, hospitals and ETCs, or problems that they feel toward them, and stories of traditional healers or private clinics caring for Ebola.",Critiques_ou_observations_du_système_de_santé,"Déclarations sur la méfiance à l'égard des travailleurs de la santé et des hôpitaux et CTE ou sur les problèmes qu'ils éprouvent à leur égard, et histoires de tradi-praticiens ou cliniques privées qui soignent Ebola."
Ebola_is_a_scheme_of_government_or_others,"Statements about EVD being intentionally used by an individual, group or institution for their own objectives. Includes Ebola being a political tool, a scheme of foreigners or others, people deliberately spreading Ebola and it being used to harm people.",Ebola_est_un_complot_du_gouvernement_ou_des_autres,"Affirmations sur l’utilisation intentionnelle de la MVE par un individu, un groupe ou une institution pour servir ses propres intérêts. Ebola est un outil politique, un complot d'étrangers ou d'autres personnes, des gens qui propagent délibérément Ebola et qui l'utilisent pour nuire aux gens."
Ebola_is_organized_business,"Statements that specifically mention money or business as a motivator for the outbreak, including healthcare workers, politicians and response workers. Commonly includes NGOs, foreigners, outsiders and white people using EVD for financial or economic gain.",Ebola_est_business_organisé,"Affirmations qui mentionnent spécifiquement l’argent ou les affaires comme un facteur motivant pour l’épidémie, notamment pour les professionnels de la santé, les hommes politiques et le personnel de riposte. Comprend en général les ONG, les étrangers, les gens de l’extérieur (les « autres ») et les personnes de couleur blanche utilisant la MVE pour obtenir un gain financier ou économique."
Vaccine_suspicions_and_non-acceptance,Any negative comments about the EVD vaccine or the vaccination activities.,Suspicions_a_propos_de_la_vaccin_et_non_acceptation,Tout commentaire négatif sur le vaccin contre la MVE ou les activités de vaccination.
Critics_or_observation_of_the_response,"Statements about responders, including Red Cross and Red Crescent, investigation teams, vaccination teams, and other NGOs/volunteers, and how they interact with patients or Ebola.",Critiques_et_observations_de_la_riposte,"Affirmations sur les gens de la riposte, y compris la Croix-Rouge et le Croissant-Rouge, les équipes de recherche, les équipes de vaccination, et d’autres volontaires/ONG, et la façon dont ils interagissent avec les patients ou Ebola"
Ebola_characteristics_and_consequences,"Statements about characteristics of the EVD outbreak, such as its duration, severity or seriousness. Also includes characteristics of the disease, its symptoms, and the person’s notions about what Ebola is and what they believe Ebola to be, as well as statements acknowledging that Ebola exists and that it’s real, that people believe in Ebola.",Ebola_caracteristiques_et_consequences,"Affirmations sur les caractéristiques et conséquences de l’épidémie de MVE, telles que sa durée, sa gravité ou son intensité. Comprend aussi les caractéristiques de la maladie, ses symptômes et les notions de la personne sur ce qu’est Ebola et sur ce qu’elle croit qu’est Ebola, ainsi que des affirmations selon lesquelles Ebola existe et qu’il est bel et bien réel, que les personnes croient en l’existence d’Ebola."
Other_rumors_beliefs_observations,"Includes rumours, beliefs and observations not falling under other categories. Emerging trends are monitored.",Autres_rumeurs_croyances_observations,"Comprend les rumeurs, croyances at observations ne rentrant pas dans d'autres catégories. Les tendances émergentes font l'objet d'un suivi."
Burials,"Questions about burials, including the Safe and Dignified Burials process and the work of SDB teams.",Enterrements,"Questions sur les enterrements, y compris sur le processus des enterrements dignes et sécurisés et le travail des équipes responsables des EDS."
Diagnosis_treatment_and_ETC,"Includes questions about diagnosis of EVD, its treatment, and the Ebola Treatment Centers (including laboratory teams, Infection Prevention and Control (IPC) teams and clinical care teams at Ebola Treatment Centers).",Diagnostique_traitement_et_CTE,"Questions sur le diagnostic de la MVE, son traitement, et les Centres de Traitement d’Ebola (y compris les équipes de laboratoire, les équipes de prévention et de contrôle des infections (PCI) et les équipes de soins cliniques des centres de traitement d'Ebola."
Ebola_and_its_consequences,"Questions on the characteristics and consequences of Ebola in general, such as its symptoms, the duration of the epidemic, number of case sas well as questions on specific cases and incidents.",Ebola_et_ses_conséquences,"Questions sur les caractéristiques et les conséquences d'Ebola en général, telles que ses symptômes, la durée de l'épidémie, le nombre de cas ainsi que des questions sur des cas et incidents spécifiques."
Ebola_protective_behaviors,Questions about what protective behaviors to take in various situations.,Comportements_pour_la_prévention_d'Ebola,Questions sur les comportements de protection à adopter dans différentes situations.
Response_processes,"Questions about the response process and the rationale for certain processes, including case tracing, use of resources, activities, border activities.",Processus_de_riposte,"Questions sur le processus de riposte et la justification de certains processus, y compris le traçage de cas, l’utilisation des ressources, les activités et les activités frontalières."
Schools_or_children,Questions about EVD prevention for children attending school.,Ecoles_ou_enfants,Questions sur la prévention de la MVE pour les enfants allant à l’école.
Transmission,Questions about how Ebola is transmitted.,Transmission,Questions sur la façon dont Ebola est transmis.
Vaccine,"Questions related to the Ebola vaccine, such as its effectiveness, the fairness of its distribution, its safety as well as acceptance of it.",Vaccin,"Questions liées au vaccin Ebola, telles que son efficacité, l'équité de sa distribution, son innocuité, ainsi que l'acceptation du vaccin."
So_much_focus_on_Ebola,"Comparison of EVD and particularly its symptoms to other diseases or symptoms such as cholera or typhoid, as well as questions about why there is so much attention on EVD compared to other threats, such as the conflict.",Tellement_d'attention_sur_Ebola,"Comparaison de la MVE et particulièrement de ses symptômes à d’autres maladies ainsi que des questions sur les raisons pour lesquelles on porte autant d’attention à la MVE par comparaison à d’autres menaces, comme le conflit."
Other_questions,Includes questions not falling under other categories. Emerging trends are monitored.,Autres_questions,Comprend les questions ne rentrant pas dans d'autres catégories. Les tendances émergentes font l'objet d'un suivi.
Expand_or_modify_vaccination_prog.,"Suggestion to expand or modify the vaccination program. For example, vaccinate the whole population. Also includes suggestion to vaccinate specific audiences (schoolchildren, pregnant women, people at high risk).",Elargir_ou_modifer_le_programme_de_vaccination,"Suggestion d’étendre ou de modifier le programme de vaccination. Par exemple, vacciner toute la population. Comprend également les suggestions de vacciner des publics spécifiques (écoliers, femmes enceintes, les personnes à risque élévée)."
Improve_health_care,"Suggestions for improving health care services, including training and equipping nurses or others in the healthcare system (IPC). Building healthcare infrastructure (ETCs, labs).",Améliorer_les_soins_de_santé,"Suggestions sur la manière d’améliorer les services de soins de santé, notamment la formation et l’équipement des infirmiers ou d’autres personnes du système des soins de santé."
Encourage_hand_washing,"Suggestion for encouraging handwashing, placing handwashing stations in public places and/or providing soap and/or sinks/washbasins for everyone.",Encourager_le_lavage_des_mains,"Suggestion d’encourager le lavage des mains, l’installation de lavabos dans les lieux publics et/ou la fourniture de savon et/ou d’éviers/de lavabos pour tout le monde."
Faster_and_more_flexible_action,"Suggestion at the response level, including faster and more flexible action. Speed, modifying action, notions of efficiency of response processes.",Action_plus_rapide_et_flexible,"Suggestion au niveau de l’intervention, notamment d’une action plus rapide et plus flexible. Rapidité, modification des actions, notions d’efficacité des processus d’intervention ."
Laboratory_test_for_symptomatic_people,"Suggestion to confirm someone has Ebola outside of a healthcare setting, for increasing lab testing capacity in the community, or to confirm the diagnosis of symptomatic people in the community.",Test_laboratoire_pour_les_gens_symptomatiques,"Suggestion de confirmer que quelqu’un a Ebola en dehors d’un environnement médical, d’augmenter la capacité de tests en laboratoire dans la communauté, ou de confirmer le diagnostic de personnes symptomatiques dans la communauté."
Improve_burials,"Suggestions for how to improve the safe and dignified burial process, including the participation of families, the construction of morgues, and tests before the burial.",Améliorer_les_enterrements,"Suggestions sur la façon d'améliorer le processus d'enterrement digne et sécurisé, y compris la participation des familles, la construction de morgues, et les tests avant l'enterrement."
Community_health_promotion,"Suggestions for increasing or improving the community health promotion, such as distributing educational materials, bringing certain groups of people into the response process more, or providing methods for prevention of sexual transmission of EVD.",Sensibilisation_sur_Ebola,"Suggestions pour augmenter ou améliorer la promotion de la santé dans la communauté, notamment l’éducation sanitaire, la mobilisation sociale ou l’augmentation des connaissances et de la conscience (sensibilisation). Cela inclut la distribution de matériel éducatif, l'implication de certains groupes de personnes dans le processus de réponse, ou la fourniture de méthodes pour prévenir la transmission sexuelle des EVD."
Other_suggestions_or_requests,Includes suggestions and requests not falling under other categories. Emerging trends are monitored.,Autres_suggestions_ou_demandes,Comprend les suggestions et les demandes ne rentrant pas dans d'autres catégories. Les tendances émergentes font l'objet d'un suivi.
Thanks_for_the_health_promotion,Statements of thanks or appreciation for the work of health promoters and awareness-raising.,Merci_pour_la_sensibilisation,Remerciements ou démonstrations de gratitude pour le travail des promoteurs de la santé et la sensibilisation
Thanks_no_specification,"Thank-yous with comments about things not listed here, unspecified thanks, or thank you all by itself.",Merci_sans_spécification,"Remerciements avec commentaires sur des choses non énumérées ici, remerciements non spécifiés, ou merci à tous."
Encouragement,Statements of encouragement or good luck.,Encouragement,Encouragements ou souhaits de bonne chance.
Thanks_for_the_health_care,Statements of thanks/appreciation for healthcare services.,Merci_aux_soins_de_santé,Remerciements/démonstrations de gratitude pour les services de soins de santé.
Thanks_to_the_SDB_teams,Instances of thanking SDB teamsInstances of thanking burial teams or for SDB services.,Merci_aux_équipes_EDS,Cas de remerciements aux équipes d’inhumation ou pour les services EDS.